client_id,age,job,marital,education,credit_default,mortgage,month
0,56,housemaid,married,basic_4y,no,no,may
1,57,services,married,high_school,unknown,no,may
2,37,services,married,high_school,no,yes,may
3,40,admin_,married,basic_6y,no,no,may
4,56,services,married,high_school,no,no,may
5,45,services,married,basic_9y,unknown,no,may
6,59,admin_,married,professional_course,no,no,may
7,41,blue-collar,married,,unknown,no,may
8,24,technician,single,professional_course,no,yes,may
9,25,services,single,high_school,no,yes,may
10,41,blue-collar,married,,unknown,no,may
11,25,services,single,high_school,no,yes,may
12,29,blue-collar,single,high_school,no,no,may
13,57,housemaid,divorced,basic_4y,no,yes,may
14,35,blue-collar,married,basic_6y,no,yes,may
15,54,retired,married,basic_9y,unknown,yes,may
16,35,blue-collar,married,basic_6y,no,yes,may
17,46,blue-collar,married,basic_6y,unknown,yes,may
18,50,blue-collar,married,basic_9y,no,yes,may
19,39,management,single,basic_9y,unknown,no,may
20,30,unemployed,married,high_school,no,no,may
21,55,blue-collar,married,basic_4y,unknown,yes,may
22,55,retired,single,high_school,no,yes,may
23,41,technician,single,high_school,no,yes,may
24,37,admin_,married,high_school,no,yes,may
25,35,technician,married,university_degree,no,no,may
26,59,technician,married,,no,yes,may
27,39,self-employed,married,basic_9y,unknown,no,may
28,54,technician,single,university_degree,unknown,no,may
29,55,unknown,married,university_degree,unknown,unknown,may
30,46,admin_,married,,no,no,may
31,59,technician,married,,no,yes,may
32,49,blue-collar,married,,no,no,may
33,54,management,married,basic_4y,unknown,yes,may
34,54,blue-collar,divorced,basic_4y,no,no,may
35,55,unknown,married,basic_4y,unknown,yes,may
36,34,services,married,high_school,no,no,may
37,52,technician,married,basic_9y,no,yes,may
38,41,admin_,married,university_degree,no,yes,may
39,56,technician,married,basic_4y,no,yes,may
40,58,management,unknown,university_degree,no,yes,may
41,32,entrepreneur,married,high_school,no,yes,may
42,38,admin_,single,professional_course,no,no,may
43,57,admin_,married,university_degree,no,no,may
44,44,admin_,married,university_degree,unknown,yes,may
45,42,technician,single,professional_course,unknown,no,may
46,57,admin_,married,university_degree,no,yes,may
47,40,blue-collar,married,basic_9y,no,no,may
48,35,admin_,married,university_degree,no,yes,may
49,45,blue-collar,married,basic_9y,no,yes,may
50,54,admin_,married,high_school,no,no,may
51,39,housemaid,married,basic_4y,no,no,may
52,60,admin_,married,high_school,no,no,may
53,53,admin_,single,professional_course,no,no,may
54,55,blue-collar,married,basic_4y,unknown,no,may
55,55,technician,married,professional_course,unknown,yes,may
56,50,management,married,university_degree,unknown,no,may
57,45,services,married,high_school,unknown,yes,may
58,55,unemployed,married,professional_course,unknown,yes,may
59,25,technician,single,university_degree,no,yes,may
60,47,entrepreneur,married,university_degree,unknown,no,may
61,51,blue-collar,married,basic_9y,no,yes,may
62,42,blue-collar,married,basic_6y,unknown,yes,may
63,42,blue-collar,married,basic_6y,unknown,no,may
64,48,admin_,married,high_school,no,no,may
65,37,admin_,married,university_degree,no,no,may
66,44,blue-collar,single,basic_9y,no,yes,may
67,33,admin_,married,,no,yes,may
68,56,admin_,married,basic_9y,no,yes,may
69,44,blue-collar,single,basic_4y,unknown,yes,may
70,41,management,married,basic_6y,no,no,may
71,44,management,divorced,university_degree,no,yes,may
72,47,admin_,married,university_degree,unknown,yes,may
73,57,unknown,married,,unknown,no,may
74,37,admin_,married,university_degree,unknown,yes,may
75,41,blue-collar,divorced,basic_4y,unknown,yes,may
76,55,technician,married,university_degree,no,no,may
77,33,services,married,high_school,unknown,yes,may
78,55,management,married,,unknown,yes,may
79,42,blue-collar,married,basic_9y,unknown,no,may
80,50,blue-collar,married,basic_4y,unknown,yes,may
81,51,blue-collar,married,basic_4y,unknown,unknown,may
82,38,admin_,married,high_school,unknown,no,may
83,49,entrepreneur,married,university_degree,unknown,yes,may
84,38,technician,single,university_degree,no,no,may
85,31,admin_,divorced,high_school,no,no,may
86,41,management,married,basic_6y,no,no,may
87,39,admin_,married,university_degree,no,yes,may
88,49,technician,married,basic_9y,no,no,may
89,34,admin_,married,high_school,no,yes,may
90,35,admin_,married,university_degree,no,yes,may
91,57,unknown,married,,unknown,yes,may
92,60,admin_,married,,unknown,no,may
93,33,unemployed,married,basic_9y,no,no,may
94,42,blue-collar,married,basic_6y,no,no,may
95,45,services,married,professional_course,no,yes,may
96,42,management,married,university_degree,no,no,may
97,53,admin_,divorced,university_degree,unknown,no,may
98,37,technician,single,professional_course,no,no,may
99,44,blue-collar,married,basic_6y,no,no,may
100,54,services,married,,no,yes,may
101,49,blue-collar,married,basic_4y,no,no,may
102,54,services,married,,no,no,may
103,52,admin_,divorced,university_degree,no,no,may
104,52,admin_,divorced,university_degree,no,no,may
105,43,services,single,high_school,unknown,no,may
106,34,housemaid,married,basic_6y,no,yes,may
107,35,admin_,married,high_school,no,yes,may
108,42,entrepreneur,married,,unknown,yes,may
109,43,technician,married,,unknown,yes,may
110,60,retired,divorced,university_degree,unknown,no,may
111,58,unemployed,married,basic_4y,unknown,no,may
112,35,services,divorced,high_school,no,yes,may
113,55,blue-collar,married,basic_9y,unknown,yes,may
114,37,management,married,university_degree,no,no,may
115,36,blue-collar,married,high_school,no,no,may
116,52,admin_,divorced,university_degree,no,no,may
117,57,blue-collar,divorced,,unknown,yes,may
